timestamp,piezo1,piezo2,piezo3,piezo4,piezo5,piezo6,fsr1,fsr2,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0.0,468.0,1905.0,1850.0,1861.0,1894.0,1909.0,0.0,0.0,-8.0,954.0,188.0,1.0,1.0,1.0,-3025.0,-1887.0,-1200.0
0.001,729.0,1905.0,1897.0,1901.0,1877.0,1904.0,0.0,0.0,-8.0,954.0,188.0,1.0,1.0,1.0,-3025.0,-1887.0,-1200.0
0.002,591.0,1909.0,1895.0,1877.0,1883.0,1877.0,0.0,0.0,-8.0,955.0,193.0,1.0,0.0,0.0,-3025.0,-1887.0,-1200.0
0.003,731.0,1895.0,1890.0,1901.0,1887.0,1870.0,0.0,0.0,-8.0,955.0,193.0,1.0,0.0,0.0,-3025.0,-1887.0,-1200.0
0.004,27.0,1889.0,1886.0,1883.0,1874.0,1893.0,0.0,0.0,-9.0,956.0,197.0,1.0,0.0,0.0,-3025.0,-1887.0,-1275.0
0.005,715.0,1905.0,1882.0,1891.0,1867.0,1909.0,0.0,0.0,-9.0,956.0,197.0,1.0,0.0,0.0,-3025.0,-1887.0,-1275.0
0.006,481.0,1886.0,1917.0,1904.0,1876.0,1904.0,0.0,0.0,-8.0,953.0,194.0,1.0,0.0,0.0,-3025.0,-1887.0,-1275.0
0.007,43.0,1905.0,1904.0,1875.0,1865.0,1901.0,0.0,0.0,-10.0,955.0,186.0,2.0,0.0,0.0,-3025.0,-1887.0,-1275.0
0.008,621.0,1874.0,1936.0,1899.0,1882.0,1877.0,0.0,0.0,-10.0,955.0,186.0,2.0,0.0,0.0,-3025.0,-1887.0,-1275.0
0.009,557.0,1871.0,1906.0,1890.0,1872.0,1874.0,0.0,0.0,-8.0,954.0,190.0,1.0,0.0,0.0,-3025.0,-1887.0,-1275.0
0.01,704.0,1870.0,1905.0,1909.0,1872.0,1877.0,0.0,0.0,-8.0,954.0,190.0,1.0,0.0,0.0,-3025.0,-1887.0,-1275.0
0.011,621.0,1895.0,1887.0,1885.0,1878.0,1889.0,0.0,0.0,-8.0,955.0,193.0,0.0,0.0,0.0,-3025.0,-1887.0,-1275.0
0.012,719.0,1905.0,1862.0,1872.0,1893.0,1899.0,0.0,0.0,-8.0,955.0,193.0,0.0,0.0,0.0,-3025.0,-1887.0,-1275.0
0.013,623.0,1889.0,1882.0,1900.0,1890.0,1905.0,0.0,0.0,-7.0,953.0,196.0,0.0,0.0,0.0,-3100.0,-1887.0,-1275.0
0.014,402.0,1861.0,1914.0,1903.0,1847.0,1872.0,0.0,0.0,-7.0,953.0,196.0,0.0,0.0,0.0,-3100.0,-1887.0,-1275.0
0.015,491.0,1902.0,1905.0,1905.0,1869.0,1900.0,0.0,0.0,-7.0,955.0,187.0,1.0,0.0,0.0,-3100.0,-1887.0,-1275.0
0.016,691.0,1869.0,1877.0,1865.0,1877.0,1878.0,0.0,0.0,-7.0,955.0,187.0,1.0,0.0,0.0,-3100.0,-1887.0,-1275.0
0.017,6.0,1889.0,1894.0,1904.0,1909.0,1884.0,0.0,0.0,-10.0,955.0,191.0,1.0,0.0,0.0,-3100.0,-1887.0,-1275.0
0.018,507.0,1885.0,1904.0,1903.0,1890.0,1874.0,0.0,0.0,-12.0,956.0,193.0,1.0,0.0,0.0,-3100.0,-1887.0,-1275.0
0.019,701.0,1887.0,1907.0,1907.0,1904.0,1900.0,0.0,0.0,-12.0,956.0,193.0,1.0,0.0,0.0,-3100.0,-1887.0,-1275.0
0.02,31.0,1899.0,1897.0,1889.0,1904.0,1888.0,0.0,0.0,-10.0,955.0,194.0,1.0,0.0,0.0,-3068.0,-1956.0,-1275.0
0.021,625.0,1873.0,1899.0,1909.0,1895.0,1907.0,0.0,0.0,-10.0,955.0,194.0,2.0,0.0,0.0,-3068.0,-1956.0,-1275.0
0.022,689.0,1859.0,1893.0,1909.0,1903.0,1891.0,0.0,0.0,-13.0,953.0,195.0,2.0,0.0,0.0,-3068.0,-1956.0,-1275.0
0.023,573.0,1884.0,1904.0,1872.0,1887.0,1872.0,0.0,0.0,-11.0,953.0,184.0,2.0,0.0,0.0,-3068.0,-1956.0,-1275.0
